Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility
2023-03-08,60348.08984375,60402.8515625,59844.8203125,59916.1015625,6500,59576.71328125,60355.494453125,0.002052802205706694,476.57390759382025
2023-03-09,59806.28125,60467.08984375,59750.53125,60467.08984375,7700,59582.843359375,60333.071484375,-0.00897805705454513,479.3648612605168
2023-03-10,59135.12890625,59262.46875,58884.98046875,59259.828125,6300,59535.776171875,60297.5684375,-0.01122210459708195,499.54245941530127
2023-03-13,58237.8515625,59510.921875,58094.55078125,59033.76953125,8000,59413.168359375,60239.647890625,-0.01517333876404503,647.6456195132477
2023-03-14,57900.19140625,58490.98046875,57721.16015625,58168.75,10200,59274.35234375,60180.836953125,-0.005797950082132242,806.627051522976
2023-03-15,57555.8984375,58473.62890625,57455.671875,58268.5390625,7600,59133.730078125,60108.599140625,-0.005946318317573529,972.6066957050338
2023-03-16,57634.83984375,57887.4609375,57158.69140625,57510.80078125,7900,58956.10625,60035.411953125,0.0013715606635125166,1073.3085821780917
2023-03-17,57989.8984375,58178.94140625,57503.8984375,58038.171875,6300,58864.1609375,59982.0609375,0.006160485475670274,1116.281224245141
2023-03-20,57628.94921875,57829.23046875,57084.91015625,57773.55078125,6500,58646.158984375,59927.57453125,-0.0062243464547367955,1124.10910978594
2023-03-21,58074.6796875,58133.328125,57730.08984375,57963.26953125,5500,58431.180859375,59891.060703125,0.0077344889121278015,985.7871759026709
2023-03-22,58214.58984375,58418.78125,58063.5,58245.26171875,0,58217.830859375,59840.406328125,0.002409142108107387,719.8129845267495
2023-03-23,57925.28125,58396.171875,57838.8515625,58061.41015625,5100,58029.730859375,59796.60234375,-0.004969692211634791,456.0422890611115
2023-03-24,57527.1015625,58066.3984375,57422.98046875,57890.66015625,6400,57868.928125,59745.034375,-0.0068740225149964695,267.48360259741685
2023-03-27,57653.859375,58019.55078125,57415.01953125,57566.8984375,6000,57810.52890625,59698.9509375,0.002203445142500149,240.3637696654787
2023-03-28,57613.71875,57949.44921875,57494.91015625,57751.5,4500,57781.881640625,59646.00171875,-0.0006962348303330979,245.50648131957203
2023-03-29,57960.08984375,58124.19921875,57524.3203125,57572.078125,5900,57822.30078125,59603.344140625,0.006011955160419191,237.30280178309204
2023-03-31,58991.51953125,59068.46875,58273.859375,58273.859375,6500,57957.96875,59570.06015625,0.01779551567778026,428.78205839620284
2023-04-03,59106.44140625,59204.8203125,58793.078125,59131.16015625,4300,58069.623046875,59531.27421875,0.0019481084046177877,562.5329224464931
2023-04-05,59689.30859375,59747.12109375,59094.3984375,59094.7109375,5000,58275.658984375,59507.891796875,0.009861314158533752,734.2925069655457
2023-04-06,59832.96875,59950.05859375,59520.12109375,59627.01171875,4700,58451.487890625,59492.11578125,0.0024067987992248963,877.3908515643467
2023-04-10,59846.51171875,60109.109375,59766.23046875,59858.98046875,11000,58614.680078125,59470.212578125,0.00022634626081452502,974.7926419667112
2023-04-11,60157.71875,60267.6796875,59919.87890625,60028.6015625,6900,58837.923828125,59453.791953125,0.005200086392879832,1051.9456118720925
2023-04-12,60392.76953125,60437.640625,60094.69140625,60180.19921875,5900,59124.490625,59457.546171875,0.0039072422647343785,1045.4871799409573
2023-04-13,60431.0,60486.91015625,60081.4296875,60364.41015625,6600,59402.2046875,59479.548203125,0.0006330305605577458,978.1132892332012
2023-04-17,59910.75,60407.859375,59442.46875,60385.8984375,15200,59631.9078125,59487.755,-0.00860899207360466,755.9138390829193
2023-04-18,59727.01171875,60113.46875,59579.30078125,59991.26171875,7300,59808.6,59491.297265625,-0.003066866651644351,476.62234411261585
2023-04-19,59567.80078125,59745.890625,59452.71875,59745.890625,7800,59866.228125,59488.49171875,-0.002665643783581695,394.6409751764915
2023-04-20,59632.3515625,59836.7890625,59489.98046875,59586.609375,6600,59918.819140625,59482.493984375,0.0010836522484194422,307.5779454684635
2023-04-21,59655.05859375,59781.359375,59412.80859375,59538.7890625,5700,59915.394140625,59458.757578125,0.00038078376342753906,310.59351097864095
2023-04-24,60056.1015625,60101.640625,59620.109375,59873.7109375,6600,59937.707421875,59449.741640625,0.006722698430003948,312.02577705267385
2023-04-25,60130.7109375,60268.671875,59967.01953125,60202.76953125,6500,59966.12734375,59446.635078125,0.001242327974324997,315.7174459490304
2023-04-26,60300.578125,60362.7890625,59954.91015625,60087.98046875,4500,59980.41328125,59439.370859375,0.0028249655600540713,328.3302417987325
2023-04-27,60649.37890625,60698.30859375,60271.48828125,60315.55859375,5500,60006.07421875,59436.2340625,0.005784368775485937,371.34877623487694
2023-04-28,61112.44140625,61209.4609375,60507.828125,60721.609375,7200,60074.218359375,59444.82890625,0.00763507406589925,498.6815302475868
2023-05-02,61354.7109375,61486.23828125,61255.0,61301.609375,6700,60218.614453125,59463.286328125,0.0039643242141071955,636.1853710204861
2023-05-03,61193.30078125,61274.9609375,61024.44140625,61274.9609375,6100,60365.243359375,59466.507109375,-0.002630770380687153,677.8992275988522
2023-05-04,61749.25,61797.91015625,61119.55859375,61258.12890625,8100,60583.38828125,59475.9903125,0.009085132059428735,740.8414068926868
2023-05-05,61054.2890625,61585.5,61002.171875,61163.1015625,5600,60725.58203125,59470.685859375,-0.011254564832771208,671.2095211449599
2023-05-08,61764.25,61854.19140625,61166.08984375,61166.08984375,7900,60936.501171875,59485.919453125,0.011628354836352717,627.3969035919555
2023-05-09,61761.328125,62027.51171875,61654.94140625,61879.6796875,6900,61107.023828125,59507.315234375,-4.730689678900113e-05,592.2741612912127
2023-05-10,61940.19921875,61974.3515625,61572.9296875,61843.359375,4800,61287.97265625,59532.66484375,0.0028961665686331184,534.4433995957324
2023-05-11,61904.51953125,62168.21875,61823.0703125,62158.1015625,6100,61448.366796875,59575.855625,-0.0005760344324046152,436.98296580126197
